Year	ECMal	ECFem.	WGMale	WGFem.	EGMale	EGFem.	WIMale	WIFem.	EIFMal	EIFFem.	NMale	NFem.	SpMale	SpFem.
1915	0	0	0	0	0	0	20	24	131	101	0	0	0	0
1916	0	0	0	0	0	0	0	0	48	39	0	0	0	0
1917	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1918	0	0	0	0	0	0	0	0	0	0	11	10	0	0
1919	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1920	0	0	0	0	0	0	0	0	46	68	0	0	0	0
1921	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1922	0	0	0	0	0	0	0	0	23	21	0	0	0	0
1923	0	0	0	0	0	0	0	0	55	41	32	29	0	0
1924	0	0	34	32	0	0	0	0	59	63	0	0	0	0
1925	0	0	0	0	0	0	0	0	114	110	165	167	16	8
1926	0	0	0	0	0	0	0	0	17	21	160	136	103	129
1927	92	96	0	6	0	0	0	0	168	163	190	143	83	89
1928	134	135	0	0	0	0	0	0	166	166	230	197	0	0
1929	164	169	0	4	0	0	0	0	89	144	137	143	0	0
1930	153	128	0	3	0	0	91	76	102	130	246	247	0	0
1931	0	0	154	132	0	0	1	7	0	0	130	103	0	0
1932	0	0	32	34	1	2	101	90	0	0	205	191	0	0
1933	0	0	13	11	25	23	159	130	52	43	211	181	0	0
1934	0	0	0	0	0	0	48	50	34	40	70	94	41	25
1935	44	53	9	14	0	0	0	0	36	38	45	58	0	0
1936	78	68	6	9	0	0	26	46	40	42	72	75	0	0
1937	0	0	2	7	6	2	185	160	91	83	173	182	0	0
1938	0	0	4	3	0	0	55	58	108	74	139	122	0	0
1939	62	56	1	2	0	0	66	43	73	80	134	148	0	0
1940	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1941	26	39	0	0	0	0	0	0	0	0	5	1	0	0
1942	30	32	0	0	0	0	0	0	0	0	33	25	0	0
1943	65	76	0	0	0	0	0	0	0	0	67	43	0	0
1944	115	116	0	0	0	0	0	0	0	0	55	57	0	0
1945	139	207	0	0	0	0	0	0	0	0	80	79	0	0
1946	280	222	26	21	0	0	0	0	53	39	207	185	0	0
1947	224	189	29	22	0	0	0	0	107	89	138	147	0	0
1948	374	295	10	11	0	0	92	103	112	111	133	127	21	25
1949	210	215	5	16	0	0	108	141	101	121	191	151	0	0
1950	195	213	18	18	0	0	96	130	228	179	185	156	45	37
1951	217	266	8	7	0	0	123	189	81	87	174	147	23	22
1952	0	1	4	12	0	0	100	124	15	5	193	181	6	6
1953	0	1	6	9	0	0	101	106	43	44	125	150	4	5
1954	0	0	17	5	0	0	70	107	6	11	137	132	6	6
1955	0	2	14	8	0	0	119	117	46	34	118	92	0	0
1956	3	4	17	11	0	0	114	151	22	21	62	70	0	0
1957	12	10	11	10	0	0	152	196	71	70	68	71	12	12
1958	37	18	2	6	0	0	141	148	7	9	58	65	10	15
1959	6	8	0	0	0	0	96	82	0	0	94	86	17	19
1960	1	0	0	0	0	0	82	78	0	0	62	66	22	17
1961	0	0	0	0	0	0	65	77	0	0	83	79	19	20
1962	0	0	0	0	0	0	164	139	5	1	80	65	1	2
1963	0	0	0	0	0	0	151	132	0	3	23	19	1	3
1964	20	36	0	0	0	0	111	106	4	9	18	20	30	11
1965	69	69	0	0	0	0	157	131	5	5	63	43	37	28
1966	188	235	0	0	0	0	161	149	2	1	23	31	58	49
1967	303	438	0	0	0	0	111	128	0	0	17	17	54	45
1968	312	388	0	0	0	0	101	101	4	2	39	37	60	46
1969	216	316	0	0	0	0	117	134	0	0	8	8	73	43
1970	288	288	0	0	14	5	140	132	0	0	17	27	97	84
1971	190	227	0	0	0	0	97	111	0	0	18	19	57	41
1972	177	183	0	0	0	0	122	116	0	0	0	0	41	56
1973	0	0	0	0	0	0	135	132	0	0	0	0	57	54
1974	0	0	0	0	0	0	142	143	0	0	0	0	65	55
1975	0	0	0	0	0	0	127	118	0	0	0	0	77	60
1976	0	0	0	0	0	0	132	143	0	0	0	0	113	121
1977	0	0	0	0	0	0	64	80	0	0	0	0	81	70
1978	0	0	1	0	0	0	104	132	5	2	0	0	253	207
1979	0	0	0	0	0	0	127	133	4	7	0	0	255	197
1980	0	0	0	0	0	0	117	119	0	0	0	0	113	105
1981	0	0	0	0	0	0	121	132	2	1	0	0	78	68
1982	0	0	0	0	0	0	96	98	1	2	0	0	58	91
1983	0	0	0	0	0	0	70	74	1	4	0	0	62	58
1984	0	0	0	0	0	0	66	100	2	0	0	0	33	69
1985	0	0	1	2	0	0	74	87	0	0	0	0	18	30
1986	0	0	2	1	0	0	27	49	0	0	0	0	0	0
1987	0	0	1	2	0	0	38	42	0	0	0	0	0	0
1988	0	0	4	5	0	0	31	37	0	0	0	0	0	0
1989	0	0	3	3	0	0	23	45	0	0	0	0	0	0
1990	0	0	9	6	0	0	0	0	0	0	0	0	0	0
1991	0	0	5	6	0	0	0	0	0	0	0	0	0	0
1992	0	0	4	9	0	0	0	0	0	0	0	0	0	0
1993	0	0	2	11	0	0	0	0	0	0	0	0	0	0
1994	0	0	10	10	0	0	0	0	0	0	0	0	0	0
1995	0	0	9	3	0	0	0	0	0	0	0	0	0	0
1996	0	0	8	10	0	0	0	0	0	0	0	0	0	0
1997	0	0	5	5	0	0	0	0	0	0	0	0	0	0
1998	0	0	1	8	0	0	0	0	0	0	0	0	0	0
1999	0	0	3	4	0	0	0	0	0	0	0	0	0	0
2000	0	0	3	3	0	0	0	0	0	0	0	0	0	0
2001	0	0	3	4	0	0	0	0	0	0	0	0	0	0
2002	0	0	5	8	0	0	0	0	0	0	0	0	0	0
2003	0	0	2	4	0	0	0	0	0	0	0	0	0	0
2004	0	0	5	6	0	0	0	0	0	0	0	0	0	0
2005	0	0	1	11	0	0	0	0	0	0	0	0	0	0
2006	0	0	2	6	0	0	3	4	0	0	0	0	0	0
2007	0	0	6	4	0	0	0	0	0	0	0	0	0	0
2008	0	0	8	3	0	0	0	0	0	0	0	0	0	0
2009	0	0	1	7	0	0	67	58	0	0	0	0	0	0
2010	0	0	0	5	0	0	74	68	0	0	0	0	0	0
2011	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2012	0	0	0	4	0	0	0	0	0	0	0	0	0	0
2013	0	0	3	5	0	0	58	71	0	0	0	0	0	0
2014	0	0	0	0	0	0	80	54	0	0	0	0	0	0
