        1       2       3       4       5       5       5       6       6       6       7       2       3       4       5       6       4       6
Year	Canada	Glnd W	Glnd E	IcelndW	IcelndE	Faroes	UK	Spits	NorN	NorW	Spain 	WG	EG	WI	EI	N	WI ??	N??
1898	106	0	0	249	0	49	0	0	670	0	0     	0	0	0	0	0	0	0
1899	116	0	0	389	0	61	0	0	379	0	0     	0	0	0	0	0	0	0
1900	123	0	0	425	0	86	0	0	388	0	0     	0	0	0	0	0	0	0
1901	148	0	0	532	23	181	0	0	497	0	0     	0	0	0	0	0	0	0
1902	237	0	0	485	121	174	0	0	640	0	0     	0	0	0	0	0	0	0
1903	449	0	0	322	338	345	152	9	228	0	0     	0	0	0	0	0	0	0
1904	897	0	0	255	383	260	575	62	256	0	0     	0	0	0	0	0	0	0
1905	651	0	0	202	457	413	613	329	0	0	0     	0	0	0	0	0	0	0
1906	407	0	0	151	296	243	426	132	0	0	0     	0	0	0	0	0	0	0
1907	518	0	0	131	595	304	689	170	0	0	0     	0	0	0	0	0	0	0
1908	514	0	0	138	594	282	520	76	0	0	0     	0	0	0	0	0	0	0
1909	524	0	0	261	731	315	621	58	0	0	0     	0	0	0	0	0	0	0
1910	384	0	0	198	460	334	564	149	0	0	0     	0	0	0	0	0	0	0
1911	364	0	0	153	369	333	589	131	0	0	0     	0	0	0	0	0	0	0
1912	325	0	0	97	105	142	428	53	0	28	0     	0	0	0	0	0	0	0
1913	296	0	0	49	56	144	452	0	0	42	0     	0	0	0	0	0	0	0
1914	242	0	0	26	0	152	516	0	0	0	0     	0	0	0	0	0	0	0
1915	171	0	0	59	0	346	0	0	0	0	0     	0	0	0	0	0	0	0
1916	59	0	0	0	0	208	0	0	0	0	0     	0	0	0	0	0	0	0
1917	0	0	0	0	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
1918	84	0	0	0	0	0	0	0	305	302	0     	0	0	0	0	0	0	0
1919	40	0	0	0	0	0	0	0	194	283	0     	0	0	0	0	0	22	0
1920	0	0	0	0	0	272	409	15	44	106	0     	0	0	0	0	0	36	0
1921	0	0	0	0	0	174	0	0	0	37	323   	0	0	0	0	0	0	0
1922	0	14	0	0	0	155	282	0	0	117	571   	0	0	0	0	0	0	0
1923	66	20	0	0	0	193	312	0	0	147	1080  	0	0	0	0	0	0	0
1924	144	94	0	0	0	245	501	0	0	272	1218  	0	0	0	0	0	0	0
1925	270	30	0	0	0	225	315	0	0	332	1592  	0	0	0	0	0	0	0
1926	329	24	0	0	0	156	400	24	0	376	1312  	0	0	0	0	0	0	0
1927	249	22	0	0	0	171	263	44	0	333	369   	0	0	0	0	0	0	0
1928	358	24	0	0	0	280	139	0	0	427	0     	0	0	0	0	0	0	0
1929	333	24	0	0	0	160	73	0	0	148	0     	0	0	0	0	0	0	192
1930	281	27	0	0	0	233	0	196	0	101	0     	0	0	0	5	162	167	52
1931	0	16	0	0	0	0	0	164	0	69	0     	285	0	8	0	0	0	0
1932	0	25	0	0	0	0	0	0	0	190	0     	41	3	191	0	0	0	208
1933	226	17	0	0	0	90	0	148	0	197	0     	7	57	290	5	51	0	0
1934	328	23	0	0	0	74	0	0	0	132	66    	0	0	98	0	32	0	0
1935	156	23	0	25	0	75	0	0	0	106	0     	0	0	0	0	0	0	0
1936	146	15	0	72	0	82	0	0	0	147	0     	0	0	0	0	0	0	0
1937	439	9	0	56	0	142	0	0	0	224	0     	0	8	158	32	0	131	132
1938	0	7	0	113	0	183	0	0	0	261	0     	0	0	0	0	0	0	0
1939	118	3	0	109	0	153	0	0	0	282	0     	0	0	0	0	0	0	0
1940	64	0	0	0	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
1941	65	0	0	0	0	0	0	0	0	6	0     	0	0	0	0	0	0	0
1942	62	0	0	0	0	0	0	0	0	58	0     	0	0	0	0	0	0	0
1943	141	0	0	0	0	0	0	0	0	110	0     	0	0	0	0	0	0	0
1944	231	0	0	0	0	0	0	0	0	112	38    	0	0	0	0	0	0	0
1945	346	0	0	0	0	30	0	0	0	159	36    	0	0	0	0	0	0	0
1946	502	47	0	0	0	94	0	0	0	392	42    	0	0	0	0	0	0	0
1947	413	51	0	0	0	196	0	0	0	285	111   	0	0	0	0	0	0	0
1948	670	21	0	195	0	223	0	0	41	219	178   	0	0	0	0	0	0	0
1949	425	21	0	249	0	222	0	0	138	204	69    	0	0	0	0	0	0	0
1950	408	36	0	226	0	376	33	0	90	252	82    	0	0	0	0	0	0	0
1951	483	15	0	312	0	156	13	0	70	251	72    	0	0	0	0	0	0	0
1952	1	16	0	224	0	20	0	0	83	291	141   	0	0	0	0	0	0	0
1953	1	15	0	207	0	87	0	0	60	215	58    	0	0	0	0	0	0	0
1954	0	22	0	177	0	17	0	0	58	212	126   	0	0	0	0	0	0	0
1955	2	22	0	236	0	80	0	0	95	115	134   	0	0	0	0	0	0	0
1956	7	28	0	265	0	43	0	0	63	69	34    	0	0	0	0	0	0	0
1957	23	21	0	348	0	141	0	0	47	92	63    	0	0	0	0	0	0	0
1958	55	8	0	289	0	16	0	0	70	53	37    	0	0	0	0	0	0	0
1959	14	0	0	178	0	0	0	0	82	98	54    	0	0	0	0	0	0	0
1960	1	0	0	160	0	0	0	0	51	77	124   	0	0	0	0	0	0	0
1961	0	0	0	142	0	0	0	0	43	119	159   	0	0	0	0	0	0	0
1962	0	0	0	303	0	6	0	0	76	69	50    	0	0	0	0	0	0	0
1963	0	0	0	283	0	3	0	0	21	21	19    	0	0	0	0	0	0	0
1964	57	1	0	217	0	13	0	0	32	6	59    	0	0	0	0	0	0	0
1965	141	1	0	288	0	10	0	0	101	5	155   	0	0	0	0	0	0	0
1966	427	0	0	310	0	4	0	0	54	0	107   	0	0	0	0	0	0	0
1967	745	0	0	239	0	0	0	0	28	6	99    	0	0	0	0	0	0	0
1968	700	3	0	202	0	6	0	0	68	8	106   	0	0	0	0	0	0	0
1969	533	0	0	251	0	0	0	0	14	2	116   	0	0	0	0	0	0	0
1970	578	0	19	272	0	0	0	0	44	0	181   	0	0	0	0	0	0	0
1971	418	0	0	208	0	0	0	0	37	0	98    	0	0	0	0	0	0	0
1972	360	1	0	238	0	0	0	0	0	0	97    	0	0	0	0	0	0	0
1973	0	2	0	267	0	0	0	0	0	0	112   	0	0	0	0	0	0	0
1974	0	5	0	285	0	0	0	0	0	0	120   	0	0	0	0	0	0	0
1975	0	1	0	245	0	0	0	0	0	0	137   	0	0	0	0	0	0	0
1976	0	9	0	275	0	0	0	0	0	0	234   	0	0	0	0	0	0	0
1977	0	13	0	144	0	0	0	0	0	0	151   	0	0	0	0	0	0	0
1978	0	8	0	236	0	7	0	0	0	0	668   	0	0	0	0	0	0	0
1979	0	7	0	260	0	11	0	0	0	0	562   	0	0	0	0	0	0	0
1980	0	13	0	237	0	0	0	0	0	0	218   	0	0	0	0	0	0	0
1981	0	7	0	254	0	3	0	0	0	0	146   	0	0	0	0	0	0	0
1982	0	9	0	194	0	3	0	0	0	0	150   	0	0	0	0	0	0	0
1983	0	8	0	144	0	5	0	0	0	0	120   	0	0	0	0	0	0	0
1984	0	10	0	167	0	2	0	0	0	0	102   	0	0	0	0	0	0	0
1985	0	9	0	161	0	0	0	0	0	0	48    	0	0	0	0	0	0	0
1986	0	9	0	76	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
1987	0	9	0	80	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
1988	0	9	0	68	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
1989	0	14	0	68	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
1990	0	19	0	0	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
1991	0	18	0	0	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
1992	0	22	0	0	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
1993	0	14	0	0	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
1994	0	22	0	0	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
1995	0	12	0	0	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
1996	0	19	0	0	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
1997	0	13	0	0	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
1998	0	11	0	0	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
1999	0	9	0	0	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
2000	0	7	0	0	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
2001	0	8	0	0	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
2002	0	13	0	0	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
2003	0	9	0	0	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
2004	0	13	0	0	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
2005	0	13	0	0	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
2006	0	10	1	7	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
2007	0	12	0	0	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
2008	0	14	0	0	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
2009	0	10	0	125	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
2010	0	6	0	148	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
2011	0	5	0	0	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
2012	0	5	0	0	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
2013	0	9	0	134	0	0	0	0	0	0	0     	0	0	0	0	0	0	0
2014	0	9	0	137	0	0	0	0	0	0	0     	0	0	0	0	0	0	0

